source_file,reference_contact_angle_deg,reference_tool,fitting_screenshot
C_1.5%_1 coat_5a,112.069,LBADSA,Screenshot (585).png
C_1.5%_1 coat_5b,116.789,LBADSA,Screenshot (586).png
C_1.5%_1 coat_6,119.603,LBADSA,Screenshot (588).png
C_1.5%_2 coat_5,132.439,LBADSA,Screenshot (589).png
C_1.5%_2 coat_6,131.288,LBADSA,Screenshot (590).png
C_3%_1 coat_5,124.533,LBADSA,Screenshot (591).png
C_3%_1 coat_6a,131.620,LBADSA,Screenshot (592).png
C_3%_1 coat_6b,129.062,LBADSA,Screenshot (593).png
C_3%_2 coat_5a,114.536,LBADSA,Screenshot (594).png
C_3%_2 coat_5b,126.337,LBADSA,Screenshot (595).png
C_3%_2 coat_6a,133.681,LBADSA,Screenshot (596).png
C_3%_2 coat_6b,132.711,LBADSA,Screenshot (597).png
