Filename,Reference_Angle,Measured_Angle,Difference,Uncertainty
C_1.5%_1 coat_5a.JPG,112.088,112.088,0.0,7.083668203286639
C_1.5%_1 coat_5b.JPG,116.789,122.22846152017293,5.439461520172927,8.499305739094345
C_1.5%_1 coat_6.JPG,119.603,116.13161869317277,3.471381306827226,4.337058874230591
C_1.5%_2 coat_6.JPG,131.288,130.75836039774052,0.5296396022594934,4.817640626605864
C_3%_1 coat_5.JPG,132.439,133.61135256980342,1.1723525698034223,3.586865595915576
C_3%_1 coat_6a.JPG,131.62,130.9990624674427,0.6209375325572921,5.722021314868059
C_3%_2 coat_5a.JPG,114.536,116.68547864121322,2.1494786412132214,5.385812414798959
C_3%_2 coat_5b.JPG,126.337,126.337,0.0,4.990951281260239
C_3%_2 coat_6a.JPG,133.681,132.0432971603215,1.637702839678525,5.157036734284186
C_3%_2 coat_6b.JPG,129.062,123.45834676630312,5.603653233696889,5.698650556170974
