filename,angle_deg,left_deg,right_deg,uncertainty_deg,annotated
C_1.5%_1 coat_5a,111.12,110.80,111.55,-,pfotes_annotated/C_1.5%_1 coat_5a.png
C_1.5%_1 coat_5b,117.00,117.07,116.86,-,pfotes_annotated/C_1.5%_1 coat_5b.png
C_1.5%_1 coat_6,117.72,117.53,117.69,-,pfotes_annotated/C_1.5%_1 coat_6.png
C_1.5%_2 coat_5,131.35,130.68,131.08,-,pfotes_annotated/C_1.5%_2 coat_5.png
C_1.5%_2 coat_6,130.09,130.22,130.10,-,pfotes_annotated/C_1.5%_2 coat_6.png
C_3%_1 coat_5,122.03,122.10,121.83,-,pfotes_annotated/C_3%_1 coat_5.png
C_3%_1 coat_6a,129.62,130.08,129.53,-,pfotes_annotated/C_3%_1 coat_6a.png
C_3%_1 coat_6b,129.89,130.44,130.07,-,pfotes_annotated/C_3%_1 coat_6b.png
C_3%_2 coat_5a,114.52,114.72,114.35,-,pfotes_annotated/C_3%_2 coat_5a.png
C_3%_2 coat_5b,122.98,123.03,122.63,-,pfotes_annotated/C_3%_2 coat_5b.png
C_3%_2 coat_6a,134.55,134.48,134.47,-,pfotes_annotated/C_3%_2 coat_6a.png
C_3%_2 coat_6b,128.93,128.53,129.10,-,pfotes_annotated/C_3%_2 coat_6b.png
