case,theta_true,ensemble,err,yl,circle,poly,ellipse
noise4_115,115.0,114.93,0.07,114.96,115.00,114.45,114.96
noise4_135,135.0,134.86,0.14,134.88,135.00,134.49,134.80
noise8_125,125.0,124.88,0.12,124.91,125.00,124.42,124.82
tilt5_120,120.0,119.92,0.08,119.97,120.02,119.34,119.90
tilt-4_130,130.0,129.91,0.09,129.95,130.01,129.48,129.82
small_R_115,115.0,114.97,0.03,114.95,115.05,114.80,114.78
small_R_140,140.0,139.68,0.32,139.71,140.03,139.86,138.60
blur2_125,125.0,124.90,0.10,124.97,125.00,124.21,124.93
blur3_140,140.0,139.79,0.21,139.93,139.99,138.57,139.55
blur2_75,75.0,74.90,0.10,74.94,74.99,74.45,75.00
# stress_MAE=0.128, maxErr=0.320, n=10/10
